=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:32:59 =~=~=~=~=~=~=~=~=~=~=~=
193567 29.49 101405.95 30.95 40467.91 8
194317 29.53 101403.46 30.93 41450.78 9
195317 29.50 101405.28 30.87 2007351.13 1
196567 29.12 101407.42 30.78 1894542.13 2
196567 29.12 101407.42 30.78 1894542.13 2
196567 29.12 101407.42 30.78 1894542.13 2
200815 29.00 101408.52 30.83 1707378.13 3
201565 29.19 101408.04 30.86 220880.06 4
202315 29.30 101408.66 30.87 217363.61 5
202815 29.35 101409.91 30.86 209107.61 6
203565 29.43 101409.73 30.84 38846.74 7
204315 29.50 101406.17 30.84 40467.91 8
205814 29.59 101406.38 30.80 43039.68 0
206064 29.53 101408.47 30.78 2037304.13 1
207314 29.14 101409.49 30.66 1886688.13 2
207314 29.14 101409.49 30.66 1886688.13 2
207314 29.14 101409.49 30.66 1886688.13 2
211563 29.03 101406.85 30.68 1721370.00 3
212313 29.21 101406.13 30.77 224217.20 4
212813 29.33 101406.95 30.75 219178.08 5
213562 29.37 101407.66 30.77 212492.22 6
214312 29.44 101405.02 30.71 38988.73 7
215812 29.57 101402.07 30.70 42398.14 9
216812 29.54 101403.76 30.70 2063476.13 1
218061 29.16 101405.07 30.58 1905116.25 2
218061 29.16 101405.07 30.58 1905116.25 2
218061 29.16 101405.07 30.58 1905116.25 2
218061 29.16 101405.07 30.58 1905116.25 2
222310 29.04 101404.11 30.58 1736697.00 3
223060 29.23 101403.03 30.65 225699.80 4
223560 29.35 101403.38 30.68 223045.09 5
224310 29.38 101402.14 30.66 213823.34 6
225809 29.55 101400.55 30.64 41091.49 8
226309 29.60 101400.72 30.61 42567.34 9
227309 29.56 101399.94 30.56 2058808.75 1
228808 29.18 101402.82 30.48 1926622.75 2
228808 29.18 101402.82 30.48 1926622.75 2
228808 29.18 101402.82 30.48 1926622.75 2
228808 29.18 101402.82 30.48 1926622.75 2
233057 29.06 101397.73 30.51 1760206.25 3
233557 29.24 101397.20 30.54 226448.47 4
234307 29.36 101395.91 30.55 221309.70 5
235806 29.48 101392.80 30.54 39530.57 7
236556 29.57 101391.93 30.52 41370.39 8
237806 29.64 101392.70 30.48 43790.63 0
238056 29.58 101392.42 30.49 2085539.75 1
239556 29.19 101393.47 30.40 1941692.38 2
239556 29.19 101393.47 30.40 1941692.38 2
239556 29.19 101393.47 30.40 1941692.38 2
243804 29.08 101389.57 30.42 1760206.25 3
244304 29.26 101386.24 30.46 231831.56 4
245054 29.38 101384.85 30.46 223923.03 5
245804 29.42 101384.43 30.46 216673.72 6
247054 29.59 101383.13 30.46 41571.94 8
247804 29.63 101382.98 30.44 42823.69 9
248803 29.60 101382.13 30.38 2066599.38 1
250303 29.21 101384.09 30.28 1958403.00 2
250303 29.21 101384.09 30.28 1958403.00 2
250303 29.21 101384.09 30.28 1958403.00 2
250303 29.21 101384.09 30.28 1958403.00 2
254302 29.11 101378.87 30.33 1772776.50 3
255052 29.29 101378.49 30.37 232780.17 4
255801 29.40 101374.85 30.38 226598.81 5
256551 29.45 101374.70 30.36 222318.72 6
257801 29.61 101373.87 30.37 41775.46 8
258551 29.65 101372.99 30.36 43039.68 9
259551 29.62 101373.27 30.30 2104830.50 1
261050 29.23 101370.72 30.19 1950011.88 2
261050 29.23 101370.72 30.19 1950011.88 2
261050 29.23 101370.72 30.19 1950011.88 2
265049 29.12 101367.94 30.22 1775081.25 3
265799 29.30 101363.27 30.28 235024.09 4
266548 29.41 101361.85 30.28 227808.67 5
267298 29.46 101360.99 30.29 225252.97 6
267798 29.54 101360.38 30.27 40050.06 7
268548 29.63 101361.80 30.26 41734.59 8
270048 29.70 101360.96 30.24 43971.14 0
270298 29.63 101360.45 30.21 2072874.50 1
271547 29.25 101356.88 30.12 1932075.50 2
271547 29.25 101356.88 30.12 1932075.50 2
271547 29.25 101356.88 30.12 1932075.50 2
275796 29.13 101353.12 30.14 1777392.00 3
276546 29.32 101348.80 30.18 233736.59 4
277296 29.43 101349.63 30.19 228877.97 5
278045 29.48 101348.38 30.20 225104.42 6
278545 29.54 101345.56 30.21 40163.16 7
280045 29.68 101342.82 30.20 43214.04 9
281045 29.64 101343.71 30.12 2099974.25 1
282294 29.26 101341.98 30.03 1959808.63 2
282294 29.26 101341.98 30.03 1959808.63 2
282294 29.26 101341.98 30.03 1959808.63 2
282294 29.26 101341.98 30.03 1959808.63 2
286543 29.14 101333.58 30.08 1791384.25 3
287293 29.32 101331.28 30.12 237146.83 4
288043 29.45 101332.88 30.13 232621.53 5
289292 29.56 101328.01 30.11 40353.09 7
290042 29.65 101327.17 30.12 42146.86 8
290792 29.69 101326.77 30.08 43522.61 9
291792 29.66 101324.47 30.04 2099974.25 1
293041 29.28 101325.24 29.93 1966866.75 2
293041 29.28 101325.24 29.93 1966866.75 2
293041 29.28 101325.24 29.93 1966866.75 2
297290 29.16 101315.31 29.97 1802023.75 3
298040 29.34 101314.64 30.04 237311.70 4
298790 29.45 101312.39 30.06 232463.11 5
299290 29.50 101310.37 30.07 226598.81 6
300039 29.57 101307.50 30.07 40544.82 7
300789 29.66 101307.82 30.02 42188.53 8
302039 29.73 101304.75 30.01 44429.02 0
302539 29.67 101304.37 29.96 2087133.75 1
303789 29.28 101303.66 29.86 1971126.13 2
303789 29.28 101303.66 29.86 1971126.13 2
303789 29.28 101303.66 29.86 1971126.13 2
308037 29.16 101296.86 29.94 1798463.25 3
308787 29.34 101293.80 29.97 238973.16 4
309287 29.46 101290.72 29.96 231989.13 5
310037 29.50 101289.98 29.97 226448.47 6
310787 29.58 101289.13 29.98 40583.39 7
