=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:42:47 =~=~=~=~=~=~=~=~=~=~=~=
2836324 28.99 100492.88 19.96 7418610.00 5
2837074 29.04 100496.09 19.94 7270468.00 6
2837574 29.13 100498.84 19.93 673020.06 7
2838324 29.21 100502.94 19.93 692125.69 8
2839073 29.26 100503.79 19.96 701369.88 9
2839823 29.29 100507.63 19.89 710124.81 0
2840073 29.21 100508.84 19.87 102400000.00 1
2841572 28.78 100509.95 19.80 102400000.00 2
2845571 28.67 100526.47 19.79 102400000.00 3
2846320 28.89 100530.23 19.81 7443889.00 4
2847070 29.02 100532.88 19.81 7368563.00 5
2847820 29.07 100535.92 19.82 7160839.00 6
2848320 29.16 100539.09 19.83 665151.00 7
2849069 29.24 100541.96 19.84 693532.00 8
2849819 29.29 100544.43 19.79 711605.31 9
2850569 29.32 100549.42 19.78 711605.31 0
2850819 29.25 100550.70 19.75 102400000.00 1
2852318 28.81 100550.02 19.68 102400000.00 2
2856317 28.70 100566.77 19.67 102400000.00 3
2857066 28.93 100571.68 19.68 7433757.00 4
2857816 29.06 100573.95 19.69 7294746.00 5
2858566 29.11 100576.58 19.67 7170240.50 6
2859066 29.19 100577.74 19.64 667101.00 7
2859815 29.29 100581.53 19.62 684492.00 8
2860565 29.33 100583.18 19.70 698499.31 9
2861315 29.36 100585.45 19.63 710864.31 0
2861565 29.27 100587.27 19.61 102400000.00 1
2863064 28.85 100589.85 19.55 102400000.00 2
2867063 28.74 100605.63 19.53 102400000.00 3
2867812 28.96 100604.11 19.57 7280160.00 4
2868562 29.09 100606.43 19.54 7132782.00 5
2869312 29.14 100609.75 19.56 7009198.00 6
2869812 29.23 100611.43 19.54 667101.00 7
2870561 29.32 100612.94 19.52 684492.00 8
2871311 29.36 100615.12 19.51 694944.00 9
2872061 29.39 100616.40 19.52 704991.38 0
2872311 29.31 100617.29 19.48 102400000.00 1
2873810 28.88 100621.20 19.39 102400000.00 2
2877808 28.77 100632.88 19.39 102400000.00 3
2878558 29.00 100635.29 19.42 7222393.50 4
2879308 29.13 100637.09 19.43 7104943.50 5
2880058 29.18 100638.48 19.43 7009198.00 6
2880558 29.26 100639.89 19.46 662568.75 7
2881307 29.35 100641.62 19.39 675016.50 8
2882057 29.40 100644.52 19.36 689330.19 9
2882807 29.43 100646.98 19.39 702091.19 0
2883057 29.34 100645.00 19.36 102400000.00 1
2884556 28.92 100650.45 19.30 102400000.00 2
2888554 28.80 100658.77 19.26 102400000.00 3
2889304 29.04 100663.98 19.32 7227172.50 4
2890054 29.16 100666.18 19.29 7100325.00 5
2890804 29.21 100669.83 19.28 6924767.50 6
2891303 29.30 100667.79 19.20 660645.19 7
2892053 29.39 100669.23 19.34 676354.00 8
2892803 29.43 100671.01 19.31 684492.00 9
2893553 29.46 100673.04 19.19 695652.19 0
2893803 29.38 100674.48 19.24 102400000.00 1
2895302 28.95 100675.95 19.17 102400000.00 2
2899300 28.84 100685.38 19.14 102400000.00 3
2900050 29.07 100690.38 19.18 7142110.00 4
