=~=~=~=~=~=~=~=~=~=~=~= KiTTY log 2024.12.06 15:53:47 =~=~=~=~=~=~=~=~=~=~=~=
632388 28.99 101374.10 14.69 63570.89 7
633138 29.07 101372.50 14.70 63856.32 8
633888 29.11 101370.76 14.70 64192.58 9
634888 29.09 101373.27 14.63 2938307.00 1
636137 28.71 101370.24 14.56 2846421.25 2
636137 28.71 101370.24 14.56 2846421.25 2
636137 28.71 101370.24 14.56 2846421.25 2
640385 28.60 101370.25 14.49 2802600.00 3
641135 28.78 101369.38 14.49 359550.56 4
641885 28.89 101371.09 14.48 357666.78 5
642384 28.94 101371.98 14.46 358417.91 6
643134 29.00 101368.43 14.48 62914.72 7
643884 29.09 101368.88 14.45 63100.81 8
645133 29.16 101369.06 14.42 63147.51 0
645633 29.10 101368.92 14.39 2785447.25 1
646883 28.72 101365.56 14.32 2751763.50 2
646883 28.72 101365.56 14.32 2751763.50 2
646883 28.72 101365.56 14.32 2751763.50 2
651131 28.60 101360.69 14.24 2700066.00 3
651881 28.79 101360.35 14.25 353225.25 4
652380 28.91 101360.27 14.25 349965.81 5
653130 28.95 101359.89 14.23 348536.41 6
653880 29.02 101356.80 14.23 61731.37 7
655379 29.14 101356.16 14.22 62317.43 9
656129 29.11 101356.16 14.16 2737968.00 1
657628 28.74 101354.05 14.09 2665799.00 2
657628 28.74 101354.05 14.09 2665799.00 2
657628 28.74 101354.05 14.09 2665799.00 2
657628 28.74 101354.05 14.09 2665799.00 2
661877 28.61 101347.80 13.98 2617252.50 3
662626 28.80 101347.51 14.01 347118.66 4
663126 28.92 101347.66 14.01 341219.59 5
664626 29.03 101345.05 13.98 60981.42 7
665375 29.11 101343.48 13.99 61332.05 8
666625 29.18 101341.52 13.93 61553.26 0
666875 29.13 101342.15 13.94 2650275.00 1
668374 28.75 101336.79 13.85 2587492.00 2
668374 28.75 101336.79 13.85 2587492.00 2
668374 28.75 101336.79 13.85 2587492.00 2
672622 28.63 101332.40 13.79 2522944.25 3
673372 28.81 101319.45 13.77 337508.25 4
673872 28.93 101317.91 13.75 337174.84 5
674622 28.97 101316.16 13.77 335847.81 6
675371 29.04 101313.23 13.75 59785.15 7
676621 29.17 101308.80 13.74 60505.79 9
677620 29.14 101309.68 13.71 2570442.50 1
679120 28.75 101316.36 13.63 2502138.00 2
679120 28.75 101316.36 13.63 2502138.00 2
679120 28.75 101316.36 13.63 2502138.00 2
679120 28.75 101316.36 13.63 2502138.00 2
683368 28.64 101308.03 13.56 2459321.50 3
683868 28.82 101306.76 13.57 332575.50 4
684617 28.94 101306.38 13.58 330003.22 5
685367 28.98 101305.07 13.57 327784.91 6
686117 29.05 101303.31 13.54 58918.30 7
687366 29.17 101296.59 13.53 59534.88 9
688366 29.14 101296.23 13.49 2483929.75 1
689865 28.76 101295.54 13.41 2415806.50 2
689865 28.76 101295.54 13.41 2415806.50 2
689865 28.76 101295.54 13.41 2415806.50 2
689865 28.76 101295.54 13.41 2415806.50 2
694114 28.64 101286.02 13.35 2377939.00 3
694613 28.83 101285.23 13.37 324976.19 4
695363 28.95 101282.11 13.37 323743.28 5
696113 28.99 101280.16 13.35 320400.50 6
697612 29.14 101275.46 13.34 58514.29 8
698112 29.18 101274.73 13.33 58796.51 9
699112 29.15 101272.37 13.27 2407287.75 1
700611 28.78 101270.51 13.21 2335233.75 2
700611 28.78 101270.51 13.21 2335233.75 2
700611 28.78 101270.51 13.21 2335233.75 2
704609 28.66 101260.98 13.14 2284439.50 3
705359 28.84 101263.58 13.14 318012.44 4
706109 28.95 101262.67 13.16 317716.41 5
706859 29.00 101260.45 13.14 316831.69 6
707609 29.06 101258.74 13.13 57066.43 7
708108 29.14 101255.29 13.13 57528.09 8
709608 29.21 101253.87 13.09 58076.23 0
709858 29.16 101253.41 13.07 2359447.00 1
711357 28.78 101247.60 13.02 2299831.50 2
711357 28.78 101247.60 13.02 2299831.50 2
711357 28.78 101247.60 13.02 2299831.50 2
715355 28.66 101227.92 12.95 2250549.50 3
716105 28.84 101224.88 12.96 312195.13 4
716855 28.95 101225.21 12.98 312195.13 5
717605 29.00 101223.41 12.96 310491.22 6
718354 29.06 101221.33 12.95 56537.10 7
